ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"24.78.155.155","elite","AS6327","CA","Shaw Communications Inc.","198","Shaw Communications Inc.","9090","socks5","4993","3","2023-11-14T00:11:13.310Z","100","4677","4687"
"103.240.33.161","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","199","Vihaan","8291","socks4","4590","1","2023-11-14T00:11:02.713Z","99","4730","4799"
"201.236.248.250","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","194","EPM Telecomunicaciones S.A. E.S.P.","5678","socks4","407","1","2023-11-14T00:11:02.717Z","98","4580","4673"
"109.251.197.33","elite","AS31148","UA","O3 Core","47","N/A","48805","socks4","3104","1","2023-11-14T00:11:02.716Z","94","4377","4680"
"110.78.149.161","elite","AS131090","TH","CAT-BB","286","N/A","5678","socks4","702","1","2023-11-14T00:10:51.211Z","58","2760","4772"
"132.226.7.23","elite","AS31898","JP","Oracle Corporation","287","Oracle Cloud Infrastructure (ap-tokyo-1)","30277","socks4","4400","1","2023-11-14T00:10:51.210Z","31","1464","4775"
"77.37.142.203","elite","AS42610","RU","NCNET","53","N/A","5328","socks4","5094","1","2023-11-14T00:10:51.212Z","94","4418","4710"
"116.203.227.24","elite","AS24940","DE","Hetzner Online GmbH","93","Hetzner","24940","socks4","3217","1","2023-11-14T00:10:51.214Z","96","4548","4724"
"100.2.103.26","elite","AS701","US","Verizon Business","96","Verizon Online LLC","8080","socks4","324","1","2023-11-14T00:10:51.212Z","100","4789","4794"
"169.239.83.138","elite","AS327946","ZA","Mesh Telecom Pty Ltd","187","Minuteman Press","8080","socks5","4505","1","2023-11-14T00:10:40.405Z","99","4649","4709"
"178.158.197.147","elite","AS43139","UA","Maximum-Net LLC","41","Maximum-Net LLC","3629","socks4","112","1","2023-11-14T00:10:40.502Z","91","4360","4785"
"149.28.155.188","elite","AS20473","SG","The Constant Company","189","Vultr Holdings, LLC","22002","socks4","5095","1","2023-11-14T00:10:40.407Z","39","1877","4793"
"101.51.104.98","elite","AS23969","TH","TOT Public Company Limited","187","TOT Public Company Limited","4145","socks4","4914","1","2023-11-14T00:10:40.407Z","61","2865","4665"
